rate_plan,price_norm,included_vases,can_offer
plan_8,0.0376,,1
plan_8,0.0329,,1
plan_8,0.0188,,1
plan_7,0.0614,HBO;TeliaPlay+,1
plan_7,0.0567,HBO;TeliaPlay+,1
plan_7,0.0519,HBO;TeliaPlay+,1
plan_7,0.0307,HBO;TeliaPlay+,1
plan_5,0.071,TeliaPlay+,1
plan_5,0.0662,TeliaPlay+,1
plan_5,0.0614,TeliaPlay+,1
plan_5,0.0567,TeliaPlay+,1
plan_5,0.0519,TeliaPlay+,1
plan_2,0.0995,HBO;TeliaPlay+;Movies;News;Entertainment;Documentaries;Leisure,1
plan_2,0.0948,HBO;TeliaPlay+;Movies;News;Entertainment;Documentaries;Leisure,1
plan_2,0.09,HBO;TeliaPlay+;Movies;News;Entertainment;Documentaries;Leisure,1
plan_2,0.0852,HBO;TeliaPlay+;Movies;News;Entertainment;Documentaries;Leisure,1
plan_2,0.0805,HBO;TeliaPlay+;Movies;News;Entertainment;Documentaries;Leisure,1
plan_2,0.0757,HBO;TeliaPlay+;Movies;News;Entertainment;Documentaries;Leisure,1
plan_3,-,TeliaPlay+;Movies;News;Entertainment;Documentaries;Leisure,0
plan_6,-,-,0
plan_1,-,-,0
plan_4,-,-,0
plan_9,-,-,0
